inspection_id,Date,year,month,status,geometry,mean_ndvi
13530,2019-09-26,2019,9,Compliant,"POLYGON ((-8759.709422874403 -378740.53604286764, -8659.359867982397 -378740.53604286764, -8659.359867982397 -378619.226497476, -8759.709422874403 -378619.226497476, -8759.709422874403 -378740.53604286764))",0.2692400813102722
13531,2019-09-26,2019,9,Compliant,"POLYGON ((-8689.784251936262 -378738.6994548852, -8603.799906529885 -378738.6994548852, -8603.799906529885 -378656.839936692, -8689.784251936262 -378656.839936692, -8689.784251936262 -378738.6994548852))",0.329500287771225
13532,2019-09-26,2019,9,Compliant,"POLYGON ((-2902.56471837895 -376013.78936756664, -2819.646884026172 -376013.78936756664, -2819.646884026172 -375927.21469216194, -2902.56471837895 -375927.21469216194, -2902.56471837895 -376013.78936756664))",0.507899820804596
13533,2019-09-26,2019,9,Compliant,"POLYGON ((-3004.0488608412347 -375991.505171117, -2928.7837649998637 -375991.505171117, -2928.7837649998637 -375912.38124332164, -3004.0488608412347 -375912.38124332164, -3004.0488608412347 -375991.505171117))",0.20699875056743622
13534,2019-09-26,2019,9,Compliant,"POLYGON ((-3033.124050315107 -376036.4645355575, -2956.8433726366684 -376036.4645355575, -2956.8433726366684 -375964.78453344037, -3033.124050315107 -375964.78453344037, -3033.124050315107 -376036.4645355575))",0.2507604956626892
13535,2019-09-26,2019,9,Compliant,"POLYGON ((-2952.077292268117 -376167.55415006145, -2884.284023459692 -376167.55415006145, -2884.284023459692 -376099.5382629657, -2952.077292268117 -376099.5382629657, -2952.077292268117 -376167.55415006145))",0.20530343055725098
13536,2019-09-26,2019,9,Compliant,"POLYGON ((-2761.294471547818 -376480.10909589473, -2683.4786153136356 -376480.10909589473, -2683.4786153136356 -376402.29323966056, -2761.294471547818 -376402.29323966056, -2761.294471547818 -376480.10909589473))",0.45119374990463257
13537,2019-09-26,2019,9,Compliant,"POLYGON ((-2716.943054726224 -377034.2527470068, -2606.1666509073243 -377034.2527470068, -2606.1666509073243 -376922.9964582965, -2716.943054726224 -376922.9964582965, -2716.943054726224 -377034.2527470068))",0.3452305197715759
13538,2019-09-26,2019,9,Compliant,"POLYGON ((-2977.9576875015146 -376654.78917162993, -2905.4692792273913 -376654.78917162993, -2905.4692792273913 -376577.82307010225, -2977.9576875015146 -376577.82307010225, -2977.9576875015146 -376654.78917162993))",0.3103654384613037
13539,2019-09-26,2019,9,Compliant,"POLYGON ((-3030.0114864810785 -376624.5194980796, -2951.6394069186035 -376624.5194980796, -2951.6394069186035 -376532.3612138802, -3030.0114864810785 -376532.3612138802, -3030.0114864810785 -376624.5194980796))",0.287302702665329
13540,2019-09-26,2019,9,Compliant,"POLYGON ((-3067.592997360743 -376619.07480236463, -2964.093380664247 -376619.07480236463, -2964.093380664247 -376520.5844567868, -3067.592997360743 -376520.5844567868, -3067.592997360743 -376619.07480236463))",0.2902027666568756
13541,2019-09-26,2019,9,Compliant,"POLYGON ((-3060.5601323418327 -376410.92170554324, -2976.8869004012536 -376410.92170554324, -2976.8869004012536 -376322.9128673857, -3060.5601323418327 -376322.9128673857, -3060.5601323418327 -376410.92170554324))",0.30472949147224426
13542,2019-09-26,2019,9,Compliant,"POLYGON ((-2808.6898016568293 -375530.58726180426, -2731.103554990748 -375530.58726180426, -2731.103554990748 -375446.63608734217, -2808.6898016568293 -375446.63608734217, -2808.6898016568293 -375530.58726180426))",0.4125286936759949
